,,,,,,,,Description
original_id,country_name,country_code,map_coordinates,URL,region_name,region_code,Project,"The City¬† is responsible for maintaining approximately 380 miles of streets, one of our largest infrastructure assets.¬† Every year a variety of street capital improvement projects are undertaken. In addition, the City maintains storm drains, water and wastewater pipelines, landscape medians and the Hill Canyon Wastewater Treatment Plant."
1,USA,ISO 3166-1 alpha-3,Latitude: 36.7783∞ N Longitude: 119.4179∞†W,https://www.toaks.org/departments/public-works/construction,Southwest Region,"NAC"" (North America)",Conejo Canyons Bridge,"All projects are prioritized in conformance with the City's General Plan, Federal/State mandates and local community standards. Construction projects that impact the community are posted on the City website and are routinely included in City Scene, the City's monthly newsletter. Those projects expected to impact the community are posted and updated on a regular basis. Below is a current list of City projects."
2,USA,ISO 3166-1 alpha-4,Latitude: 36.7783∞ N Longitude: 119.4179∞†W,https://www.toaks.org/departments/public-works/construction,Southwest Region,"NAC"" (North America)",Electric Vehicle (EV) Charging Station Project,The project includes construction of a steel bridge across the Arroyo Conejo Creek southwest of Hill Canyon Road in the Conejo Canyons Open Space area (COSCA).
3,USA,ISO 3166-1 alpha-5,Latitude: 36.7783∞ N Longitude: 119.4179∞†W,https://www.toaks.org/departments/public-works/construction,Southwest Region,"NAC"" (North America)",Erbes Road Fence Replacement Project,This project installs four EV charging stations at the Grant Brimhall Library and three EV charging stations at the Newbury Park Library.
4,USA,ISO 3166-1 alpha-6,Latitude: 36.7783∞ N Longitude: 119.4179∞†W,https://www.toaks.org/departments/public-works/construction,Southwest Region,"NAC"" (North America)",Erbes Road Flood Mitigation Project (CI 5655),"The project includes replacement of 3,500 ft existing PVC fence on Erbes Rd. from north of McCrea Rd to the 23 Freeway that was damaged by the Erbes Fire in January 2021."
5,USA,ISO 3166-1 alpha-7,Latitude: 36.7783∞ N Longitude: 119.4179∞†W,https://www.toaks.org/departments/public-works/construction,Southwest Region,"NAC"" (North America)",Guard Rail Repairs Project,This project helps improve the safety of Erbes Road during intense rainstorms and other inclement weather.
6,USA,ISO 3166-1 alpha-8,Latitude: 36.7783∞ N Longitude: 119.4179∞†W,https://www.toaks.org/departments/public-works/construction,Southwest Region,"NAC"" (North America)",Hillcrest Drive Bike Lane and Pedestrian Improvements (CI 5682),"The City‚Äôs Local Road Safety Plan (LRSP) has identified 9 locations for guardrail replacement based on existing condition of the guardrails, number of collisions, high speeds and horizontal and/or vertical curves."
7,USA,ISO 3166-1 alpha-9,Latitude: 36.7783∞ N Longitude: 119.4179∞†W,https://www.toaks.org/departments/public-works/construction,Southwest Region,"NAC"" (North America)",Janss Road Underground Project,"As part of the Utility Undergrounding Master Plan, the utilities above-ground on Janss Road will be placed underground."
8,USA,ISO 3166-1 alpha-10,Latitude: 36.7783∞ N Longitude: 119.4179∞†W,https://www.toaks.org/departments/public-works/construction,Southwest Region,"NAC"" (North America)",Lynn Road Bike Lane and Pedestrian Improvements (CI 5660),Conversion of Class II bike lanes to install Class IV separated bike lanes from Reino Road to Gainsborough Road and reconstruction of Lynn Road/US 101 bridge barriers and fencing.
9,USA,ISO 3166-1 alpha-11,Latitude: 36.7783∞ N Longitude: 119.4179∞†W,https://www.toaks.org/departments/public-works/construction,Southwest Region,"NAC"" (North America)",Rancho Conejo Biotech Area Sidewalks,Construction of incomplete sidewalks on four streets within Rancho Conejo Biotech area and install crosswalk across Rancho Conejo Blvd. at Corporate Center Dr.
10,USA,ISO 3166-1 alpha-12,Latitude: 36.7783∞ N Longitude: 119.4179∞†W,https://www.toaks.org/departments/public-works/construction,Southwest Region,"NAC"" (North America)",Retroreflective Backplate for Traffic Signals (CI 5592),"The Retroreflective Backplate Project will install retroreflective backplates at thirty-five existing signalized intersections, which will improve commuter safety as part of the Local Road Safety Plan."
11,USA,ISO 3166-1 alpha-13,Latitude: 36.7783∞ N Longitude: 119.4179∞†W,https://www.toaks.org/departments/public-works/construction,Southwest Region,"NAC"" (North America)",Thousand Oaks Blvd Curbs & Pedestrian Crossing Project,"This project will update a roadway pavement section along T.O.B. which includes reconstructed curb ramps, gutters, sidewalks, and a new crosswalk."
12,USA,ISO 3166-1 alpha-14,Latitude: 36.7783∞ N Longitude: 119.4179∞†W,https://www.toaks.org/departments/public-works/construction,Southwest Region,"NAC"" (North America)",Paving Program,"The Citywide Street Overlay and Pavement Resurfacing Project will help the City preserve and extend the life of our Roads and Streets, which are one of the community‚Äôs most essential and critical assets."
13,USA,ISO 3166-1 alpha-15,Latitude: 36.7783∞ N Longitude: 119.4179∞†W,https://www.toaks.org/departments/public-works/construction,Southwest Region,"NAC"" (North America)",Valve and Polybutylene Service Replacements,"The work includes complete replacement of existing valves, saddles, water meters boxes, polybutylene water services with copper tubing and installation of cathodic protections, replacement of ¬æ‚Äù copper service line, traffic control, and all appurtenant work to complete the project."
14,USA,ISO 3166-1 alpha-16,Latitude: 36.7783∞ N Longitude: 119.4179∞†W,https://www.toaks.org/departments/public-works/construction,Southwest Region,"NAC"" (North America)",Westlake Boulevard Flood Mitigation Project (CI 5590),
